source_code,source_label,target_line,allocation_pct,inclusion_note,consolidation_treatment,evidence,reviewer,crosswalk_version
GF01,"OECD Table 11 (DF_TABLE11): general public services, total outlays OTE, S13",GF01,100,"identity mapping: the OECD Table 11 expenditure codes ARE the COFOG divisions (D18 — BEA's own data re-presented on the SNA 2008 framework); anchor_actual, no allocation judgement. Level II 01.7 is NOT in this table for the USA and comes from the D10 fallback (GG D.41 payable, = T11 D4 x GF01 to table rounding); see BEA_NIPA_to_COFOG.csv",S13 consolidated,"USA 1970-2024 (55 years); 2024 = USD 2,007,399 mn; T11 D4 x GF01 - T12 D41 max |diff| USD 3 mn (D-S16-005)",stage-u1-build,1.0
GF02,"OECD Table 11: defence, total outlays OTE, S13",GF02,100,"identity mapping, as GF01",S13 consolidated,"USA 1970-2024; 2024 = USD 911,017 mn",stage-u1-build,1.0
GF03,"OECD Table 11: public order and safety, total outlays OTE, S13",GF03,100,"identity mapping, as GF01",S13 consolidated,"USA 1970-2024; 2024 = USD 527,426 mn",stage-u1-build,1.0
GF04,"OECD Table 11: economic affairs, total outlays OTE, S13",GF04,100,"identity mapping, as GF01. Carries the transport group's gross investment (highways and transit), which NIPA Table 3.17 publishes only at this Level I (OQ-15, D-S17-002): so GF04_5 under-covers 04.5 and GF04_X over-covers the rest",S13 consolidated,"USA 1970-2024; 2024 = USD 977,880 mn",stage-u1-build,1.0
GF05,"OECD Table 11: environmental protection, total outlays OTE, S13",GF05,100,"STRUCTURAL ZERO (D20, countries.yaml lines_absent): Table 11 publishes no environmental-protection rows for the USA at all — BEA has no such function and its components sit inside 04 (economic affairs) and 06 (housing and community amenities). GF05 is therefore zero by additivity, not missing: published as structural_zero rows, grade A, in every anchor year and in no other year (V41). Never interpolated, extended or forecast",S13 consolidated,"USA 1970-2024: zero GF05 rows in the source; sum of the nine published functions = _T to USD 0.002 mn in every year, so the residual for GF05 is nil; the D4-by-function row for GF05 is 0.0",stage-u1-build,1.0
GF06,"OECD Table 11: housing and community amenities, total outlays OTE, S13",GF06,100,"identity mapping, as GF01; carries part of what other countries book under 05 (D20 reason)",S13 consolidated,"USA 1970-2024; 2024 = USD 159,976 mn",stage-u1-build,1.0
GF07,"OECD Table 11: health, total outlays OTE, S13",GF07,100,"identity mapping, as GF01. Medicare and Medicaid are inside it and are recorded as D.62 cash benefits in the SNA presentation of the US accounts, not as D.632 social transfers in kind (D20: E04 is a structural zero)",S13 consolidated,"USA 1970-2024; 2024 = USD 3,011,464 mn",stage-u1-build,1.0
GF08,"OECD Table 11: recreation, culture and religion, total outlays OTE, S13",GF08,100,"identity mapping, as GF01",S13 consolidated,"USA 1970-2024; 2024 = USD 74,322 mn",stage-u1-build,1.0
GF09,"OECD Table 11: education, total outlays OTE, S13",GF09,100,"identity mapping, as GF01",S13 consolidated,"USA 1970-2024; 2024 = USD 1,639,217 mn",stage-u1-build,1.0
GF10,"OECD Table 11: social protection, total outlays OTE, S13",GF10,100,"identity mapping, as GF01. Level II 10.2 and 10.5 are NOT in this table for the USA and come from NIPA Table 3.16 (D26); see BEA_NIPA_to_COFOG.csv",S13 consolidated,"USA 1970-2024; 2024 = USD 2,284,748 mn",stage-u1-build,1.0
_T,"OECD Table 11: total outlays OTE, all functions, S13",TE,100,"the COFOG tree's own total (the V2 baseline for this tree). WEDGE, measured and reported, never absorbed (D13/D16): Table 11 _T is NOT identical to Table 12 OTE — two tables of the same institution, transmitted separately. Measured range over 1970-2024: -665.0 mn (2002) to +1,334.8 mn (2010), 2024 = +1,275.6 mn, at most 261 parts per million of _T. The COFOG tree publishes _T and the balance ledger publishes OTE; the two are never mixed in one identity, and no line value is adjusted to close the wedge",S13 consolidated,"USA 1970-2024; 2024 _T = USD 11,593,449 mn vs T12 OTE 11,592,173 mn; sum of the nine published functions - _T max |diff| USD 0.002 mn (D-S16-005)",stage-u1-build,1.0
