source_code,source_label,target_line,allocation_pct,inclusion_note,consolidation_treatment,evidence,reviewer,crosswalk_version
D211,"OECD Table 12 (revenue flow): value added type taxes, S13, receivable",R01,100,"structural zero (D20): no value-added tax in the United States; D211 is identically zero in the anchor and R01 is published as structural_zero rows (countries.yaml lines_absent)",S13 consolidated,"USA 1970-2024: D211 = 0 in every year; D21 (taxes on products) = general sales taxes and excises, 2024 = USD 1,099,682 mn",stage-u0-build,1.0
D2-D211,"OECD Table 12 (revenue flow): taxes on production and imports minus VAT, S13, receivable",R02,100,"same construction as the three existing families (D.2 - D.211); derived_actual. General sales taxes (D.214) and all excises live here; D2 = D21 + D29 exactly",S13 consolidated,"USA 1970-2024; 2024 = USD 1,954,685 mn = OECD EO TIND exactly",stage-u0-build,1.0
D214A,"OECD Table 10: excise duties and consumption taxes, S13",R02_A,100,"the D.214A cell of the tax-detail table (Level II of R02, D-S13-005); no D.2122C cell exists in Table 10 for the USA (import duties are D2121 = D212, 2024 USD 83,587 mn, and stay in R02_X); T10 D2 = T12 D2 to USD 0.005 mn so no cross-table drift",S13 consolidated,"USA 1970-2024; 2024 = USD 371,262 mn (D214 total 1,016,095 incl. D214I general sales taxes 602,430)",stage-u0-build,1.0
D51M,"OECD Table 10: taxes on individual or household income including holding gains, S13",R03,100,"CHOSEN OVER the kickoff §4.3 label 'T10 D51A' (excluding holding gains): the ESA_REV concept of R03 is D51A_C1 (including holding gains), which is what gov_10a_taxag D51A_C1 (FRA/DEU) and ONS D51M (GBR) carry; T10 publishes both pairs and D51M + D51O = D51 exactly in every year while D51A + D51B leaves the holding-gains taxes D51C1 + D51C2 (USD 502,624 mn in 2024) unallocated. Cash/withholding basis (§14); D17 tax-credits watch",S13 consolidated,"USA 1970-2024; 2024 = USD 2,978,261 mn (D51A 2,554,711 + D51C1 423,550); D51M + D51O - D51 max |diff| 0.01 mn",stage-u0-build,1.0
D51O,"OECD Table 10: taxes on the income or profits of corporations including holding gains, S13",R04,100,"as R03: the D51B_C2 concept; includes taxes from the rest of the world (OECD EO TYB 702,537 mn = D51O + 38,852 mn RoW taxes in 2024, kickoff §4.3)",S13 consolidated,"USA 1970-2024; 2024 = USD 663,685 mn (D51B 584,611 + D51C2 79,074)",stage-u0-build,1.0
D5-D51M-D51O+D91,"OECD Table 12 D5 minus Table 10 D51M and D51O plus Table 12 D91",R05,100,"same construction as the three existing families (D.5 - R03 - R04 + D.91; D.59 inside D.5); derived_actual. D5 and D91 from Table 12 so the identity R01..R10 = OTR closes; the T10/T12 D5 transmission drift (up to USD 5.8 bn in some years, 1.3 mn in 2024) lands here, as the Eurostat taxag/main drift does (D-S1-002)",S13 consolidated,"USA 1970-2024; 2024 = USD 92,996 mn (= D59 48,833 + D91 44,161 + drift 1.3)",stage-u0-build,1.0
D61,"OECD Table 12 (revenue flow): net social contributions, S13, receivable",R06,100,"same item; anchor cell; = NIPA contributions for government social insurance exactly (kickoff §4.3). Table 12 rather than Table 10 (T10 D61 differs by up to USD 724 mn in some years)",S13 consolidated,"USA 1970-2024; 2024 = USD 1,929,608 mn = OECD EO SSRG exactly",stage-u0-build,1.0
D611,"OECD Table 12 (revenue flow): employers' actual social contributions, S13",R06_E,100,"Level II cell from the parent's own table (D-S13-005); D611 + D613 + D612_D614 = D61 exactly, so R06_X = D612_D614 (imputed contributions; USD 11,206 mn in 2024)",S13 consolidated,"USA 1970-2024; 2024 = USD 857,774 mn",stage-u0-build,1.0
D613,"OECD Table 12 (revenue flow): households' actual social contributions, S13",R06_H,100,"as R06_E",S13 consolidated,"USA 1970-2024; 2024 = USD 1,060,628 mn",stage-u0-build,1.0
D41,"OECD Table 12 (revenue flow): interest, S13, receivable",R07,100,"same item, gross accrued (concept_flag d41_gross_accrued; D10)",S13 consolidated,"USA 1970-2024; 2024 = USD 154,039 mn (OECD EO GGINTR 189,443 mn is a wider NIPA/IMA concept)",stage-u0-build,1.0
D4-D41,"OECD Table 12 (revenue flow): property income minus interest, S13, receivable",R08,100,"same construction as the existing families (D.4 - D.41 resources) = D4N; Federal Reserve remittances are D.42 dividends and swing the line (negative years admitted, may_be_negative)",S13 consolidated,"USA 1970-2024; D4N = D4 - D41 to USD 0.001 mn; 2024 = USD 38,865 mn",stage-u0-build,1.0
