source_code,source_label,target_line,allocation_pct,inclusion_note,consolidation_treatment,evidence,reviewer,crosswalk_version
D1,"OECD Table 12 (expenditure flow): compensation of employees, S13, payable",E01,100,"same SNA 2008 / ESA 2010 item as the anchor concept; anchor cell (anchor_actual)",S13 consolidated,"USA 1970-2024 every year; 2024 = USD 2,470,131 mn; E01..E09 = OTE to USD 0.002 mn in every year (D-S16-005)",stage-u0-build,1.0
P2,"OECD Table 12 (expenditure flow): intermediate consumption, S13",E02,100,"same item; anchor cell. Affected by the sales grossing (§3): the OECD presentation grosses sales (P1O) into revenue that NIPA nets against consumption — TE and TR carry it symmetrically",S13 consolidated,"USA 1970-2024; 2024 = USD 1,962,620 mn",stage-u0-build,1.0
D62,"OECD Table 12 (expenditure flow): social benefits other than social transfers in kind, S13, payable",E03,100,"same item; anchor cell. Includes Medicare and Medicaid, which the SNA presentation of the US accounts records as D.62 cash benefits (D20)",S13 consolidated,"USA 1970-2024; 2024 = USD 4,490,018 mn = OECD EO SSPG exactly",stage-u0-build,1.0
D632,"OECD Table 12 (expenditure flow): social transfers in kind - purchased market production, S13, payable",E04,100,"structural zero (D20): D632 is identically zero for the USA in the anchor; published as structural_zero rows in every anchor year (countries.yaml lines_absent)",S13 consolidated,"USA 1970-2024: D632 = 0 in every year (max |value| 0.0); D6M (D62 + D632) = D62",stage-u0-build,1.0
D41,"OECD Table 12 (expenditure flow): interest, S13, payable",E05,100,"same item, gross accrued D.41 (concept_flag d41_gross_accrued); mirrors GF01_7 (D10 / D26) and R07. OECD vintage concept: 1,384,602 mn in 2024 vs the NIPA/IMA interest incl. imputed pension interest 1,397,625 mn (OECD EO GGINTP) — a 0.94% wedge, noted (kickoff §4.2)",S13 consolidated,"USA 1970-2024; T11 D4 x GF01 = T12 D41 to table rounding (max |diff| USD 3 mn; D26: GF01_7 = D.41 by construction)",stage-u0-build,1.0
D3,"OECD Table 12 (expenditure flow): subsidies, S13, payable",E06,100,"same item; anchor cell (D31 = D3, D39 = 0 for the USA)",S13 consolidated,"USA 1970-2024; 2024 = USD 94,239 mn",stage-u0-build,1.0
D29+D5+D4-D41+D7+D8,"OECD Table 12 (expenditure flow): other taxes on production + current taxes on income and wealth + property income other than interest + other current transfers + adjustment for pension entitlements, S13, payable",E07,100,"the ESA_EXP residual current item, same construction as gov_10a_main (D29PAY + D5PAY + D4PAY - D41PAY + D7PAY + D8); derived_actual",S13 consolidated,"USA 1970-2024: D29, D5, D8 and D4N (= D4 - D41) are identically zero in the anchor, so E07 = D7 (2024 = USD 87,735 mn); the cells exist and are summed as declared",stage-u0-build,1.0
P5+NP,"OECD Table 12 (expenditure flow): gross capital formation + acquisitions less disposals of non-produced assets, S13",E08,100,"same items; derived_actual. Enterprise wedge (§3): government enterprises' gross investment is inside NIPA's government investment but outside the OECD P.51G (measured in reports/source_verification_USA.md)",S13 consolidated,"USA 1970-2024: P5 = P51G (P5M = 0); P5L = P5 + NP; 2024 = 985,722 + 20,491 mn",stage-u0-build,1.0
D9,"OECD Table 12 (expenditure flow): capital transfers, S13, payable",E09,100,"same item; anchor cell (D92 investment grants = 0 for the USA; D9 is other capital transfers)",S13 consolidated,"USA 1970-2024; 2024 = USD 96,614 mn",stage-u0-build,1.0
OTE,"OECD Table 12 (expenditure flow): total government expenditure, S13",TE_ESA,100,"the anchor's own total (V2 baseline for the ESA_EXP tree); the COFOG tree's total is Table 11 _T, which differs from OTE by -665 to +1,335 mn across 1970-2024 (two tables of the same institution; the ledger takes OTE)",S13 consolidated,"USA 1970-2024; 2024 OTE = USD 11,592,170 mn; T11 _T = 11,593,449 mn",stage-u0-build,1.0
