iso3,year,series_variant,tr_lcu_mn,te_lcu_mn,nlb_lcu_mn,b9_anchor_lcu_mn,ni_lcu_mn,pb_lcu_mn,complete_both_sides,source_id,run_id
GBR,1990,strict,227587.0,237527.0,-9940.0,-9940.0,,,False,ONS_GG_RECEIPTS,20260831T145400Z
GBR,1990,maximum_extension,227587.0,237527.0,-9940.0,-9940.0,,,False,ONS_GG_RECEIPTS,20260831T145400Z
GBR,1991,strict,238031.0,257370.0,-19339.0,-19339.0,,,False,ONS_GG_RECEIPTS,20260831T145400Z
GBR,1991,maximum_extension,238031.0,257370.0,-19339.0,-19339.0,,,False,ONS_GG_RECEIPTS,20260831T145400Z
GBR,1992,strict,241577.0,281615.0,-40038.0,-40038.0,,,False,ONS_GG_RECEIPTS,20260831T145400Z
GBR,1992,maximum_extension,241577.0,281615.0,-40038.0,-40038.0,,,False,ONS_GG_RECEIPTS,20260831T145400Z
GBR,1993,strict,244677.0,298094.0,-53417.0,-53417.0,,,False,ONS_GG_RECEIPTS,20260831T145400Z
GBR,1993,maximum_extension,244677.0,298094.0,-53417.0,-53417.0,,,False,ONS_GG_RECEIPTS,20260831T145400Z
GBR,1994,strict,262194.0,311997.0,-49803.0,-49803.0,,,False,ONS_GG_RECEIPTS,20260831T145400Z
GBR,1994,maximum_extension,262194.0,311997.0,-49803.0,-49803.0,,,False,ONS_GG_RECEIPTS,20260831T145400Z
GBR,1995,strict,282664.0,328874.0,-46210.0,-46210.0,22906.0,-23304.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,1995,maximum_extension,282664.0,328874.0,-46210.0,-46210.0,22906.0,-23304.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,1996,strict,300002.0,337467.0,-37465.0,-37465.0,24263.0,-13202.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,1996,maximum_extension,300002.0,337467.0,-37465.0,-37465.0,24263.0,-13202.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,1997,strict,322933.0,341776.0,-18843.0,-18843.0,24571.0,5728.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,1997,maximum_extension,322933.0,341776.0,-18843.0,-18843.0,24571.0,5728.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,1998,strict,351490.0,353573.0,-2083.0,-2083.0,25469.0,23386.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,1998,maximum_extension,351490.0,353573.0,-2083.0,-2083.0,25469.0,23386.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,1999,strict,372689.0,364712.0,7977.0,7977.0,22892.0,30869.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,1999,maximum_extension,372689.0,364712.0,7977.0,7977.0,22892.0,30869.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,2000,strict,402079.0,386659.0,15420.0,15420.0,23486.0,38906.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,2000,maximum_extension,402079.0,386659.0,15420.0,15420.0,23486.0,38906.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,2001,strict,417942.0,414039.0,3903.0,3903.0,21385.0,25288.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,2001,maximum_extension,417942.0,414039.0,3903.0,3903.0,21385.0,25288.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,2002,strict,423991.0,447236.0,-23245.0,-23245.0,19557.0,-3688.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,2002,maximum_extension,423991.0,447236.0,-23245.0,-23245.0,19557.0,-3688.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,2003,strict,447902.0,488220.0,-40318.0,-40318.0,20662.0,-19656.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,2003,maximum_extension,447902.0,488220.0,-40318.0,-40318.0,20662.0,-19656.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,2004,strict,488059.0,529773.0,-41714.0,-41714.0,22421.0,-19293.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,2004,maximum_extension,488059.0,529773.0,-41714.0,-41714.0,22421.0,-19293.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,2005,strict,532688.0,576622.0,-43934.0,-43934.0,25562.0,-18372.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,2005,maximum_extension,532688.0,576622.0,-43934.0,-43934.0,25562.0,-18372.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,2006,strict,561010.0,601477.0,-40467.0,-40467.0,26476.0,-13991.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,2006,maximum_extension,561010.0,601477.0,-40467.0,-40467.0,26476.0,-13991.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,2007,strict,594042.0,634877.0,-40835.0,-40835.0,29330.0,-11505.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,2007,maximum_extension,594042.0,634877.0,-40835.0,-40835.0,29330.0,-11505.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,2008,strict,625274.0,706148.0,-80874.0,-80874.0,28203.0,-52671.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,2008,maximum_extension,625274.0,706148.0,-80874.0,-80874.0,28203.0,-52671.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,2009,strict,576520.0,732024.0,-155504.0,-155504.0,24825.0,-130679.0,True,ONS_GG_RECEIPTS,20260831T145400Z
GBR,2009,maximum_extension,576520.0,732024.0,-155504.0,-155504.0,24825.0,-130679.0,True,ONS_GG_RECEIPTS,20260831T145400Z
