iso3,year,step,item,value_lcu_mn,item_type,item_source_id,basis,run_id,source_id,snapshot_sha256,quality_grade,notes
GBR,1987,register,official_total,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,aggregate class-level layer (DD8) pending the per-security register (OQ-8)
GBR,1987,A_cg_cash_requirement,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1987,A_cg_cash_requirement,official_total,,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1987,A_cg_cash_requirement,residual,,residual,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1987,B_s1311_b9,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1987,B_s1311_b9,official_total,,official,ONS_PSF_APPENDIX_A,accrued,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1987,B_s1311_b9,residual,,residual,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1987,C_s13_nlb,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1987,C_s13_nlb,official_total,,official,package_NLB,accrued,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1987,C_s13_nlb,residual,,residual,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1988,register,official_total,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,aggregate class-level layer (DD8) pending the per-security register (OQ-8)
GBR,1988,A_cg_cash_requirement,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1988,A_cg_cash_requirement,official_total,,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1988,A_cg_cash_requirement,residual,,residual,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1988,B_s1311_b9,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1988,B_s1311_b9,official_total,,official,ONS_PSF_APPENDIX_A,accrued,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1988,B_s1311_b9,residual,,residual,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1988,C_s13_nlb,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1988,C_s13_nlb,official_total,,official,package_NLB,accrued,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1988,C_s13_nlb,residual,,residual,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1989,register,official_total,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,aggregate class-level layer (DD8) pending the per-security register (OQ-8)
GBR,1989,A_cg_cash_requirement,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1989,A_cg_cash_requirement,official_total,,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1989,A_cg_cash_requirement,residual,,residual,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1989,B_s1311_b9,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1989,B_s1311_b9,official_total,,official,ONS_PSF_APPENDIX_A,accrued,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1989,B_s1311_b9,residual,,residual,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1989,C_s13_nlb,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1989,C_s13_nlb,official_total,,official,package_NLB,accrued,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1989,C_s13_nlb,residual,,residual,,,20260909T175651Z,ggfiscal.debt.chains,,B,
