iso3,year,step,item,value_lcu_mn,item_type,item_source_id,basis,run_id,source_id,snapshot_sha256,quality_grade,notes
GBR,1987,register,official_total,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,aggregate class-level layer (DD8) pending the per-security register (OQ-8)
GBR,1987,A_cg_cash,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1987,A_cg_cash,official_total,,official,HMT_NLF,accrued_nlf_finance_costs,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1987,A_cg_cash,residual,,residual,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1987,B_s1311_d41,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1987,B_s1311_d41,official_total,18604.0,official,ONS_PSF_TIMESERIES,accrued,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1987,B_s1311_d41,residual,,residual,,accrued,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1987,C_s13_gf01_7,carried_from_previous_step,18604.0,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1987,C_s13_gf01_7,official_total,18977.121867607886,official,package_GF01_7,accrued,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1987,C_s13_gf01_7,residual,373.1218676078861,residual,,accrued,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1988,register,official_total,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,aggregate class-level layer (DD8) pending the per-security register (OQ-8)
GBR,1988,A_cg_cash,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1988,A_cg_cash,official_total,,official,HMT_NLF,accrued_nlf_finance_costs,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1988,A_cg_cash,residual,,residual,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1988,B_s1311_d41,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1988,B_s1311_d41,official_total,18941.0,official,ONS_PSF_TIMESERIES,accrued,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1988,B_s1311_d41,residual,,residual,,accrued,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1988,C_s13_gf01_7,carried_from_previous_step,18941.0,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1988,C_s13_gf01_7,official_total,19543.053040648196,official,package_GF01_7,accrued,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1988,C_s13_gf01_7,residual,602.0530406481957,residual,,accrued,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1989,register,official_total,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,aggregate class-level layer (DD8) pending the per-security register (OQ-8)
GBR,1989,A_cg_cash,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1989,A_cg_cash,official_total,,official,HMT_NLF,accrued_nlf_finance_costs,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1989,A_cg_cash,residual,,residual,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1989,B_s1311_d41,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1989,B_s1311_d41,official_total,19947.0,official,ONS_PSF_TIMESERIES,accrued,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1989,B_s1311_d41,residual,,residual,,accrued,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1989,C_s13_gf01_7,carried_from_previous_step,19947.0,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1989,C_s13_gf01_7,official_total,21000.87863834972,official,package_GF01_7,accrued,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1989,C_s13_gf01_7,residual,1053.8786383497209,residual,,accrued,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1990,register,official_total,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,aggregate class-level layer (DD8) pending the per-security register (OQ-8)
GBR,1990,A_cg_cash,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1990,A_cg_cash,official_total,,official,HMT_NLF,accrued_nlf_finance_costs,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1990,A_cg_cash,residual,,residual,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1990,B_s1311_d41,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1990,B_s1311_d41,official_total,20071.0,official,ONS_PSF_TIMESERIES,accrued,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1990,B_s1311_d41,residual,,residual,,accrued,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1990,C_s13_gf01_7,carried_from_previous_step,20071.0,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1990,C_s13_gf01_7,official_total,21241.665562913906,official,package_GF01_7,accrued,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1990,C_s13_gf01_7,residual,1170.665562913906,residual,,accrued,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1991,register,official_total,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,aggregate class-level layer (DD8) pending the per-security register (OQ-8)
GBR,1991,A_cg_cash,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1991,A_cg_cash,official_total,,official,HMT_NLF,accrued_nlf_finance_costs,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1991,A_cg_cash,residual,,residual,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1991,B_s1311_d41,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1991,B_s1311_d41,official_total,18146.0,official,ONS_PSF_TIMESERIES,accrued,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1991,B_s1311_d41,residual,,residual,,accrued,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1991,C_s13_gf01_7,carried_from_previous_step,18146.0,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1991,C_s13_gf01_7,official_total,19108.179409993976,official,package_GF01_7,accrued,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1991,C_s13_gf01_7,residual,962.1794099939762,residual,,accrued,20260909T175651Z,ggfiscal.debt.chains,,B,
