iso3,as_of,instrument_class,bucket,nominal_lcu_mn,nominal_uplifted_lcu_mn,market_hands_lcu_mn,n_securities,weighted_residual_years,run_id,source_id,snapshot_sha256,quality_grade,notes
DEU,1995-12-31,fixed_bullet,0-1,38346.8910897164,,,13,0.38103582021446475,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1995-12-31,fixed_bullet,1-2,54196.93940679914,,,19,1.5314400836852504,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1995-12-31,fixed_bullet,2-3,43971.10178287475,,,18,2.4367190360218394,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1995-12-31,fixed_bullet,3-5,68324.48574476596,,,24,4.052997293220473,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1995-12-31,fixed_bullet,5-7,40392.058621,,,6,6.144950138142305,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1995-12-31,fixed_bullet,7-10,58798.56634411,,,8,8.664345445346504,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1995-12-31,fixed_bullet,20-30,14316.17267651,,,3,25.86564975008296,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1995-12-31,floating,3-5,2556.45940681,,,1,4.265571526351814,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1995-12-31,floating,7-10,5112.918812100001,,,1,8.722792607802875,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1995-12-31,other,0-1,6246.092451797958,,,36,0.4935525341662943,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1995-12-31,other,1-2,6267.8527019219455,,,22,1.4221314663044429,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1995-12-31,other,2-3,6330.0177418282765,,,12,2.448037390287469,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1995-12-31,other,3-5,13967.596289043528,,,32,4.055401804675533,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1995-12-31,other,5-7,11756.435324137705,,,24,5.524251321765695,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1996-12-31,bill,0-1,9985.53043976215,,,2,0.15584553222494532,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1996-12-31,fixed_bullet,0-1,54196.93940679914,,,19,0.5293866955949015,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1996-12-31,fixed_bullet,1-2,54196.93940679913,,,20,1.5108545452197382,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1996-12-31,fixed_bullet,2-3,28632.34536178596,,,13,2.406864183127876,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1996-12-31,fixed_bullet,3-5,82228.31403570001,,,18,3.921523060980732,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1996-12-31,fixed_bullet,5-7,40392.05861878,,,6,6.138504059122143,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1996-12-31,fixed_bullet,7-10,65445.3607999,,,8,8.581130219007875,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1996-12-31,fixed_bullet,15-20,4090.33505155,,,2,19.500342231382028,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1996-12-31,fixed_bullet,20-30,10225.837624959999,,,1,27.00889801505818,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1996-12-31,floating,3-5,2556.45940681,,,1,3.263518138261465,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1996-12-31,floating,7-10,5112.918812100001,,,1,7.720739219712526,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1996-12-31,other,0-1,8205.536703087695,,,34,0.40435136037405767,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1996-12-31,other,1-2,7065.080400648321,,,24,1.4473501934325632,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1996-12-31,other,2-3,5896.811481570486,,,17,2.4255787112162723,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1996-12-31,other,3-5,19805.784193922784,,,30,4.113838184130401,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1996-12-31,other,5-7,12414.11768917,,,23,5.443081812917029,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1997-12-31,bill,0-1,10214.589202538049,,,2,0.16442453570933493,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1997-12-31,fixed_bullet,0-1,54196.93940679913,,,20,0.5115390079165213,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1997-12-31,fixed_bullet,1-2,50106.60437221596,,,17,1.4766514408909222,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1997-12-31,fixed_bullet,2-3,48572.72872678,,,11,2.5690550811651596,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1997-12-31,fixed_bullet,3-5,85124.30371293,,,14,4.045706617291545,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1997-12-31,fixed_bullet,5-7,29654.92911358,,,5,5.933111473059891,20260910T000226Z,ggfiscal.debt.maturity,,A,
