iso3,series_variant,year,line_code,contribution_pp,kind,notes
GBR,strict,1996,R01,0.11864954864768198,revenue,nan
GBR,strict,1996,R02,-0.045114775946786256,revenue,nan
GBR,strict,1996,R03,-0.5949722582947445,revenue,nan
GBR,strict,1996,R04,0.3466592167029887,revenue,nan
GBR,strict,1996,R05,0.012814440881098177,revenue,nan
GBR,strict,1996,R06,-0.04117813517211799,revenue,nan
GBR,strict,1996,R07,0.009656235898806119,revenue,nan
GBR,strict,1996,R08,0.023941519382005613,revenue,nan
GBR,strict,1996,R09,-0.06518398606970582,revenue,nan
GBR,strict,1996,R10,0.008579553172515766,revenue,nan
GBR,strict,1996,GF01,0.11689706966851524,expenditure,nan
GBR,strict,1996,GF02,0.11516154270370081,expenditure,nan
GBR,strict,1996,GF03,0.05404581794576577,expenditure,nan
GBR,strict,1996,GF04,0.4064707142450056,expenditure,nan
GBR,strict,1996,GF05,0.049337179395443284,expenditure,nan
GBR,strict,1996,GF06,0.008261352419732838,expenditure,nan
GBR,strict,1996,GF07,0.12322640956740419,expenditure,nan
GBR,strict,1996,GF08,0.039615809869596,expenditure,nan
GBR,strict,1996,GF09,0.17203922751263048,expenditure,nan
GBR,strict,1996,GF10,0.5022758229135504,expenditure,nan
GBR,strict,1996,NLB_CHANGE_SUM,1.3611823054430863,total,Δ((ΣR-ΣE)/GDP); V26: equals the line sum exactly
GBR,strict,1996,ANCHOR_B9_DELTA,-0.05677410232435687,memo,"anchor Δ(B9/GDP) minus the sum-based change; rounding/vintage wedge, never allocated (D16)"
GBR,strict,1996,WEO_GGXCNL_DELTA,1.3373141972479297,memo,"WEO 2026-04 Δ(GGXCNL/NGDP), comparison column per §8.3"
GBR,strict,1997,R01,0.05438858730877835,revenue,nan
GBR,strict,1997,R02,0.15333357391914687,revenue,nan
GBR,strict,1997,R03,-0.27763919967651873,revenue,nan
GBR,strict,1997,R04,0.6461928256921421,revenue,nan
GBR,strict,1997,R05,0.09792367530917813,revenue,nan
GBR,strict,1997,R06,0.10867133090418646,revenue,nan
GBR,strict,1997,R07,0.13456345016020682,revenue,nan
GBR,strict,1997,R08,-0.02270941779058235,revenue,nan
GBR,strict,1997,R09,0.0010042810493646193,revenue,nan
GBR,strict,1997,R10,-0.04262605721492589,revenue,nan
GBR,strict,1997,GF01,-0.020355339323426674,expenditure,nan
GBR,strict,1997,GF02,0.11187370396110591,expenditure,nan
GBR,strict,1997,GF03,0.049197648502295396,expenditure,nan
GBR,strict,1997,GF04,0.08506981940053608,expenditure,nan
GBR,strict,1997,GF05,0.002173008587344049,expenditure,nan
GBR,strict,1997,GF06,0.14403603012458094,expenditure,nan
GBR,strict,1997,GF07,0.1842512578096936,expenditure,nan
GBR,strict,1997,GF08,0.02638619513617548,expenditure,nan
GBR,strict,1997,GF09,0.07623444929646325,expenditure,nan
GBR,strict,1997,GF10,0.26069614563177246,expenditure,nan
GBR,strict,1997,NLB_CHANGE_SUM,1.7726659687875168,total,Δ((ΣR-ΣE)/GDP); V26: equals the line sum exactly
GBR,strict,1997,ANCHOR_B9_DELTA,0.36229940817133155,memo,"anchor Δ(B9/GDP) minus the sum-based change; rounding/vintage wedge, never allocated (D16)"
GBR,strict,1997,WEO_GGXCNL_DELTA,1.6374073600747523,memo,"WEO 2026-04 Δ(GGXCNL/NGDP), comparison column per §8.3"
GBR,strict,1998,R01,-0.018162614201770733,revenue,nan
GBR,strict,1998,R02,0.19670006874743726,revenue,nan
GBR,strict,1998,R03,1.0415704830521983,revenue,nan
GBR,strict,1998,R04,0.052749153152953365,revenue,nan
GBR,strict,1998,R05,0.09701416845147338,revenue,nan
GBR,strict,1998,R06,-0.03268309097426425,revenue,nan
GBR,strict,1998,R07,-0.01573177609187626,revenue,nan
GBR,strict,1998,R08,0.027573999041539,revenue,nan
GBR,strict,1998,R09,0.03664630966988599,revenue,nan
GBR,strict,1998,R10,-0.025085241194823527,revenue,nan
GBR,strict,1998,GF01,-0.23793388592320483,expenditure,nan
GBR,strict,1998,GF02,0.13282296927595477,expenditure,nan
GBR,strict,1998,GF03,-0.02870653557105647,expenditure,nan
GBR,strict,1998,GF04,0.1721720096157446,expenditure,nan
GBR,strict,1998,GF05,-0.027825095987882038,expenditure,nan
GBR,strict,1998,GF06,0.04247483632993229,expenditure,nan
GBR,strict,1998,GF07,-0.09467997403219755,expenditure,nan
GBR,strict,1998,GF08,-0.0714961852393523,expenditure,nan
GBR,strict,1998,GF09,0.09515759214173622,expenditure,nan
GBR,strict,1998,GF10,0.41550945805518547,expenditure,nan
GBR,strict,1998,NLB_CHANGE_SUM,1.7580866483176127,total,Δ((ΣR-ΣE)/GDP); V26: equals the line sum exactly
GBR,strict,1998,ANCHOR_B9_DELTA,-3.9968028886505635e-15,memo,"anchor Δ(B9/GDP) minus the sum-based change; rounding/vintage wedge, never allocated (D16)"
GBR,strict,1998,WEO_GGXCNL_DELTA,1.7876107469719147,memo,"WEO 2026-04 Δ(GGXCNL/NGDP), comparison column per §8.3"
GBR,strict,1999,R01,0.249670380446676,revenue,nan
GBR,strict,1999,R02,0.16948020799584934,revenue,nan
GBR,strict,1999,R03,0.3083320006440765,revenue,nan
GBR,strict,1999,R04,-0.26518208597746884,revenue,nan
GBR,strict,1999,R05,0.06019244237210515,revenue,nan
GBR,strict,1999,R06,0.181749861392691,revenue,nan
GBR,strict,1999,R07,-0.14176239295050413,revenue,nan
GBR,strict,1999,R08,-0.08527027193585808,revenue,nan
GBR,strict,1999,R09,0.09120534976702013,revenue,nan
