iso3,series_variant,weo_vintage,source_vintage_set_hash,base_year,horizon_year,ni_weo_mn,gf01_7_mn,r07_mn,ni_ours_mn,gap_mn,notes
GBR,strict,2026-04,9b805ef685ff,2025,2026,83864.34899999999,103834.28617891794,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
GBR,strict,2026-04,9b805ef685ff,2025,2027,88530.379,106949.31093268424,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
GBR,strict,2026-04,9b805ef685ff,2025,2028,96383.927,,,,,"neither interest line has a value at 2028 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
GBR,strict,2026-04,9b805ef685ff,2025,2029,104589.92199999999,,,,,"neither interest line has a value at 2029 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
GBR,strict,2026-04,9b805ef685ff,2025,2030,109496.296,,,,,"neither interest line has a value at 2030 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
GBR,strict,2026-04,9b805ef685ff,2025,2031,109836.60800000001,,,,,"neither interest line has a value at 2031 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
GBR,maximum_extension,2026-04,9b805ef685ff,2025,2026,83864.34899999999,103834.28617891794,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
GBR,maximum_extension,2026-04,9b805ef685ff,2025,2027,88530.379,106949.31093268424,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
GBR,maximum_extension,2026-04,9b805ef685ff,2025,2028,96383.927,,,,,"neither interest line has a value at 2028 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
GBR,maximum_extension,2026-04,9b805ef685ff,2025,2029,104589.92199999999,,,,,"neither interest line has a value at 2029 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
GBR,maximum_extension,2026-04,9b805ef685ff,2025,2030,109496.296,,,,,"neither interest line has a value at 2030 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
GBR,maximum_extension,2026-04,9b805ef685ff,2025,2031,109836.60800000001,,,,,"neither interest line has a value at 2031 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
FRA,strict,2026-04,9b805ef685ff,2024,2025,59200.0,65238.81665133901,3923.8,61315.01665133901,2115.016651339007,gap contributes to resid_disagreement (§8.4)
FRA,strict,2026-04,9b805ef685ff,2024,2026,67989.672,77662.93527647184,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
FRA,strict,2026-04,9b805ef685ff,2024,2027,77426.59100000001,86323.61755014477,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
FRA,strict,2026-04,9b805ef685ff,2024,2028,86381.73200000002,,,,,"neither interest line has a value at 2028 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
FRA,strict,2026-04,9b805ef685ff,2024,2029,93189.876,,,,,"neither interest line has a value at 2029 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
FRA,strict,2026-04,9b805ef685ff,2024,2030,103912.193,,,,,"neither interest line has a value at 2030 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
FRA,strict,2026-04,9b805ef685ff,2024,2031,115275.883,,,,,"neither interest line has a value at 2031 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
FRA,maximum_extension,2026-04,9b805ef685ff,2024,2025,59200.0,65238.81665133901,3923.8,61315.01665133901,2115.016651339007,gap contributes to resid_disagreement (§8.4)
FRA,maximum_extension,2026-04,9b805ef685ff,2024,2026,67989.672,77662.93527647184,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
FRA,maximum_extension,2026-04,9b805ef685ff,2024,2027,77426.59100000001,86323.61755014477,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
FRA,maximum_extension,2026-04,9b805ef685ff,2024,2028,86381.73200000002,,,,,"neither interest line has a value at 2028 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
FRA,maximum_extension,2026-04,9b805ef685ff,2024,2029,93189.876,,,,,"neither interest line has a value at 2029 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
FRA,maximum_extension,2026-04,9b805ef685ff,2024,2030,103912.193,,,,,"neither interest line has a value at 2030 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
FRA,maximum_extension,2026-04,9b805ef685ff,2024,2031,115275.883,,,,,"neither interest line has a value at 2031 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
DEU,strict,2026-04,9b805ef685ff,2025,2026,43603.429000000004,57378.15525879376,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
DEU,strict,2026-04,9b805ef685ff,2025,2027,51644.06900000002,61977.95527625034,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
DEU,strict,2026-04,9b805ef685ff,2025,2028,60129.09399999998,,,,,"neither interest line has a value at 2028 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
DEU,strict,2026-04,9b805ef685ff,2025,2029,68745.502,,,,,"neither interest line has a value at 2029 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
DEU,strict,2026-04,9b805ef685ff,2025,2030,78144.52,,,,,"neither interest line has a value at 2030 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
DEU,strict,2026-04,9b805ef685ff,2025,2031,82112.163,,,,,"neither interest line has a value at 2031 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
DEU,maximum_extension,2026-04,9b805ef685ff,2025,2026,43603.429000000004,57378.15525879376,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
DEU,maximum_extension,2026-04,9b805ef685ff,2025,2027,51644.06900000002,61977.95527625034,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
DEU,maximum_extension,2026-04,9b805ef685ff,2025,2028,60129.09399999998,,,,,"neither interest line has a value at 2028 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
DEU,maximum_extension,2026-04,9b805ef685ff,2025,2029,68745.502,,,,,"neither interest line has a value at 2029 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
DEU,maximum_extension,2026-04,9b805ef685ff,2025,2030,78144.52,,,,,"neither interest line has a value at 2030 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
