file,column,description
expenditure_cofog.csv,iso3,"Country (GBR, FRA, DEU)."
expenditure_cofog.csv,country,"Country name, for readability."
expenditure_cofog.csv,variant,"strict = official published sources only; maximum_extension = strict plus proxy, composite and partial-coverage legs, each with a declared residual assumption. maximum_extension always contains strict and equals it wherever both exist; it adds years at either end — a longer backward leg as well as a longer forecast. Pick one; never mix them in a series."
expenditure_cofog.csv,classification,"Which tree the line belongs to: COFOG (expenditure by function), ESA_EXP (expenditure by ESA economic type) or ESA_REV (revenue by ESA type). COFOG and ESA_EXP are two cuts of the same total expenditure — never add lines across them."
expenditure_cofog.csv,line_code,"Series code. COFOG: GF01-GF10 (Level I); Level II splits GF01_7 interest (remainder GF01_X), GF10_2 old age i.e. pensions and GF10_5 unemployment (remainder GF10_X), GF04_5 transport (remainder GF04_X); TE (total expenditure). ESA revenue: R01-R10 with the Level II splits R02_A excise duties (remainder R02_X) and R06_E employers' / R06_H households' actual social contributions (remainder R06_X, the imputed and supplementary part); TR (total revenue). ESA economic expenditure: E01 compensation of employees, E02 intermediate consumption, E03 social benefits in cash (D.62), E04 social transfers in kind purchased (D.632), E05 interest, E06 subsidies, E07 other current, E08 capital formation, E09 capital transfers, TE_ESA (their total). A remainder plus its Level II lines equals the parent exactly; remainders are never forecast."
expenditure_cofog.csv,line_label,Human-readable name of the line.
expenditure_cofog.csv,line_level,"1 = COFOG Level I / ESA line; 2 = COFOG Level II; derived = identity; total = TE, TE_ESA or TR."
expenditure_cofog.csv,year,Calendar year. Sources on a fiscal year are converted first (§7.10) and flagged in derivation.
expenditure_cofog.csv,basis,actual = outturn (or an outturn-based backward stitch); forecast = projection.
expenditure_cofog.csv,value_lcu_mn,"Value in millions of national currency, current prices, general government, consolidated."
expenditure_cofog.csv,currency,"GBP for GBR, EUR for FRA and DEU."
expenditure_cofog.csv,pct_gdp,value_lcu_mn as a percentage of that country-year's GDP (gdp_lcu_mn).
expenditure_cofog.csv,pct_total,"value_lcu_mn as a percentage of the same year's total (TE for COFOG lines, TE_ESA for ESA economic lines, TR for revenue lines)."
expenditure_cofog.csv,gdp_lcu_mn,"GDP at current market prices, same currency and year, from the country's registered GDP source."
expenditure_cofog.csv,observation_type,anchor_actual | derived_actual | level2_proxy_actual | stitched_actual | direct_forecast | proxy_forecast | composite_forecast.
expenditure_cofog.csv,quality_grade,A = the anchor's own published value; B = a conceptually equivalent official series; C = an official series covering only part of the line; D = a proxy with a declared residual assumption.
expenditure_cofog.csv,source_id,Publisher of the value (or of the growth applied).
expenditure_cofog.csv,anchor_source,Publisher of the anchor the chain runs from.
expenditure_cofog.csv,anchor_year,Year of that anchor.
expenditure_cofog.csv,anchor_value,"Value of that anchor, in value_lcu_mn units. It is itself a row of this file."
expenditure_cofog.csv,growth_source_id,Publisher of the growth factor applied (blank on anchor rows).
expenditure_cofog.csv,growth_rate,"Growth factor applied at this year. Reproduce the value as value(year) = value(neighbour) * growth_rate, where neighbour is year+1 when year < anchor_year and year-1 otherwise."
expenditure_cofog.csv,residual_method,Declared treatment of the part of the line the growth source does not cover (maximum_extension only).
expenditure_cofog.csv,coverage_share,"Measured share of the line the growth source covers, at coverage_share_year, on overlapping data. This is measured, not assumed."
expenditure_cofog.csv,crosswalk_version,Version of the source-to-line mapping used (files in crosswalks/).
expenditure_cofog.csv,derivation,Plain-language statement of the exact arithmetic behind the row.
expenditure_cofog.csv,notes,The concept caveat recorded with the observation at build time.
expenditure_esa.csv,iso3,"Country (GBR, FRA, DEU)."
expenditure_esa.csv,country,"Country name, for readability."
expenditure_esa.csv,variant,"strict = official published sources only; maximum_extension = strict plus proxy, composite and partial-coverage legs, each with a declared residual assumption. maximum_extension always contains strict and equals it wherever both exist; it adds years at either end — a longer backward leg as well as a longer forecast. Pick one; never mix them in a series."
expenditure_esa.csv,classification,"Which tree the line belongs to: COFOG (expenditure by function), ESA_EXP (expenditure by ESA economic type) or ESA_REV (revenue by ESA type). COFOG and ESA_EXP are two cuts of the same total expenditure — never add lines across them."
expenditure_esa.csv,line_code,"Series code. COFOG: GF01-GF10 (Level I); Level II splits GF01_7 interest (remainder GF01_X), GF10_2 old age i.e. pensions and GF10_5 unemployment (remainder GF10_X), GF04_5 transport (remainder GF04_X); TE (total expenditure). ESA revenue: R01-R10 with the Level II splits R02_A excise duties (remainder R02_X) and R06_E employers' / R06_H households' actual social contributions (remainder R06_X, the imputed and supplementary part); TR (total revenue). ESA economic expenditure: E01 compensation of employees, E02 intermediate consumption, E03 social benefits in cash (D.62), E04 social transfers in kind purchased (D.632), E05 interest, E06 subsidies, E07 other current, E08 capital formation, E09 capital transfers, TE_ESA (their total). A remainder plus its Level II lines equals the parent exactly; remainders are never forecast."
expenditure_esa.csv,line_label,Human-readable name of the line.
expenditure_esa.csv,line_level,"1 = COFOG Level I / ESA line; 2 = COFOG Level II; derived = identity; total = TE, TE_ESA or TR."
expenditure_esa.csv,year,Calendar year. Sources on a fiscal year are converted first (§7.10) and flagged in derivation.
expenditure_esa.csv,basis,actual = outturn (or an outturn-based backward stitch); forecast = projection.
expenditure_esa.csv,value_lcu_mn,"Value in millions of national currency, current prices, general government, consolidated."
expenditure_esa.csv,currency,"GBP for GBR, EUR for FRA and DEU."
expenditure_esa.csv,pct_gdp,value_lcu_mn as a percentage of that country-year's GDP (gdp_lcu_mn).
expenditure_esa.csv,pct_total,"value_lcu_mn as a percentage of the same year's total (TE for COFOG lines, TE_ESA for ESA economic lines, TR for revenue lines)."
expenditure_esa.csv,gdp_lcu_mn,"GDP at current market prices, same currency and year, from the country's registered GDP source."
expenditure_esa.csv,observation_type,anchor_actual | derived_actual | level2_proxy_actual | stitched_actual | direct_forecast | proxy_forecast | composite_forecast.
expenditure_esa.csv,quality_grade,A = the anchor's own published value; B = a conceptually equivalent official series; C = an official series covering only part of the line; D = a proxy with a declared residual assumption.
expenditure_esa.csv,source_id,Publisher of the value (or of the growth applied).
expenditure_esa.csv,anchor_source,Publisher of the anchor the chain runs from.
expenditure_esa.csv,anchor_year,Year of that anchor.
expenditure_esa.csv,anchor_value,"Value of that anchor, in value_lcu_mn units. It is itself a row of this file."
expenditure_esa.csv,growth_source_id,Publisher of the growth factor applied (blank on anchor rows).
expenditure_esa.csv,growth_rate,"Growth factor applied at this year. Reproduce the value as value(year) = value(neighbour) * growth_rate, where neighbour is year+1 when year < anchor_year and year-1 otherwise."
expenditure_esa.csv,residual_method,Declared treatment of the part of the line the growth source does not cover (maximum_extension only).
expenditure_esa.csv,coverage_share,"Measured share of the line the growth source covers, at coverage_share_year, on overlapping data. This is measured, not assumed."
expenditure_esa.csv,crosswalk_version,Version of the source-to-line mapping used (files in crosswalks/).
expenditure_esa.csv,derivation,Plain-language statement of the exact arithmetic behind the row.
