iso3,year,step,item,value_lcu_mn,item_type,item_source_id,basis,run_id,source_id,snapshot_sha256,quality_grade,notes
GBR,1982,register,sum_fixed_bullet,-4661.0,computed,ggfiscal.debt.register,nominal,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1982,register,sum_inflation_linked,2650.0,computed,ggfiscal.debt.register,nominal,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1982,register,official_total,-2011.0,computed,,nominal,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1982,A_cg_cash_requirement,carried_from_previous_step,-2011.0,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1982,A_cg_cash_requirement,issuance_cash_less_nominal,-108.5,computed,ggfiscal.debt.register,cash,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1982,A_cg_cash_requirement,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1982,A_cg_cash_requirement,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1982,B_s1311_b9,carried_from_previous_step,-2119.5,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1982,B_s1311_b9,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1982,B_s1311_b9,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1982,C_s13_nlb,carried_from_previous_step,-2119.5,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1982,C_s13_nlb,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1982,C_s13_nlb,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1983,register,sum_fixed_bullet,-6338.0,computed,ggfiscal.debt.register,nominal,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1983,register,sum_inflation_linked,1829.9228269999999,computed,ggfiscal.debt.register,nominal,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1983,register,official_total,-4508.077173,computed,,nominal,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1983,A_cg_cash_requirement,carried_from_previous_step,-4508.077173,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1983,A_cg_cash_requirement,issuance_cash_less_nominal,-109.5,computed,ggfiscal.debt.register,cash,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1983,A_cg_cash_requirement,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1983,A_cg_cash_requirement,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1983,B_s1311_b9,carried_from_previous_step,-4617.577173,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1983,B_s1311_b9,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1983,B_s1311_b9,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1983,C_s13_nlb,carried_from_previous_step,-4617.577173,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1983,C_s13_nlb,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1983,C_s13_nlb,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1984,register,sum_fixed_bullet,-5000.0,computed,ggfiscal.debt.register,nominal,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1984,register,sum_inflation_linked,1021.737615,computed,ggfiscal.debt.register,nominal,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1984,register,official_total,-3978.262385,computed,,nominal,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1984,A_cg_cash_requirement,carried_from_previous_step,-3978.262385,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1984,A_cg_cash_requirement,issuance_cash_less_nominal,-49.5,computed,ggfiscal.debt.register,cash,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1984,A_cg_cash_requirement,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1984,A_cg_cash_requirement,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1984,B_s1311_b9,carried_from_previous_step,-4027.762385,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1984,B_s1311_b9,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1984,B_s1311_b9,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1984,C_s13_nlb,carried_from_previous_step,-4027.762385,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1984,C_s13_nlb,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1984,C_s13_nlb,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1985,register,sum_fixed_bullet,-5560.513373379999,computed,ggfiscal.debt.register,nominal,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1985,register,sum_inflation_linked,1800.0,computed,ggfiscal.debt.register,nominal,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1985,register,official_total,-3760.5133733799994,computed,,nominal,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1985,A_cg_cash_requirement,carried_from_previous_step,-3760.5133733799994,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1985,A_cg_cash_requirement,issuance_cash_less_nominal,-99.25,computed,ggfiscal.debt.register,cash,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1985,A_cg_cash_requirement,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1985,A_cg_cash_requirement,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1985,B_s1311_b9,carried_from_previous_step,-3859.7633733799994,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1985,B_s1311_b9,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1985,B_s1311_b9,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1985,C_s13_nlb,carried_from_previous_step,-3859.7633733799994,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1985,C_s13_nlb,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1985,C_s13_nlb,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1986,register,sum_fixed_bullet,-3969.72639495,computed,ggfiscal.debt.register,nominal,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1986,register,sum_inflation_linked,1850.0,computed,ggfiscal.debt.register,nominal,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1986,register,official_total,-2119.72639495,computed,,nominal,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1986,A_cg_cash_requirement,carried_from_previous_step,-2119.72639495,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1986,A_cg_cash_requirement,issuance_cash_less_nominal,-344.03125,computed,ggfiscal.debt.register,cash,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1986,A_cg_cash_requirement,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1986,A_cg_cash_requirement,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1986,B_s1311_b9,carried_from_previous_step,-2463.75764495,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1986,B_s1311_b9,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1986,B_s1311_b9,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1986,C_s13_nlb,carried_from_previous_step,-2463.75764495,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1986,C_s13_nlb,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1986,C_s13_nlb,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1987,register,sum_fixed_bullet,-9177.82572893,computed,ggfiscal.debt.register,nominal,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1987,register,sum_inflation_linked,1100.0,computed,ggfiscal.debt.register,nominal,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1987,register,official_total,-8077.82572893,computed,,nominal,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1987,A_cg_cash_requirement,carried_from_previous_step,-8077.82572893,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1987,A_cg_cash_requirement,issuance_cash_less_nominal,-24.1875,computed,ggfiscal.debt.register,cash,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1987,A_cg_cash_requirement,official_total,,official,ONS_PSF_APPENDIX_S,cash,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1987,A_cg_cash_requirement,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1987,B_s1311_b9,carried_from_previous_step,-8102.01322893,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1987,B_s1311_b9,official_total,,official,ONS_PSF_APPENDIX_A,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1987,B_s1311_b9,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1987,C_s13_nlb,carried_from_previous_step,-8102.01322893,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1987,C_s13_nlb,official_total,,official,package_NLB,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1987,C_s13_nlb,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1988,register,sum_fixed_bullet,-5989.7320998899995,computed,ggfiscal.debt.register,nominal,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1988,register,sum_inflation_linked,800.0000000000001,computed,ggfiscal.debt.register,nominal,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1988,register,official_total,-5189.7320998899995,computed,,nominal,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1988,A_cg_cash_requirement,carried_from_previous_step,-5189.7320998899995,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1988,A_cg_cash_requirement,issuance_cash_less_nominal,-68.90625,computed,ggfiscal.debt.register,cash,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1988,A_cg_cash_requirement,official_total,,official,ONS_PSF_APPENDIX_S,cash,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1988,A_cg_cash_requirement,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1988,B_s1311_b9,carried_from_previous_step,-5258.6383498899995,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1988,B_s1311_b9,official_total,,official,ONS_PSF_APPENDIX_A,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1988,B_s1311_b9,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1988,C_s13_nlb,carried_from_previous_step,-5258.6383498899995,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1988,C_s13_nlb,official_total,,official,package_NLB,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1988,C_s13_nlb,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1989,register,sum_fixed_bullet,-10278.93345446,computed,ggfiscal.debt.register,nominal,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1989,register,official_total,-10278.93345446,computed,,nominal,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1989,A_cg_cash_requirement,carried_from_previous_step,-10278.93345446,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1989,A_cg_cash_requirement,official_total,,official,ONS_PSF_APPENDIX_S,cash,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1989,A_cg_cash_requirement,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1989,B_s1311_b9,carried_from_previous_step,-10278.93345446,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1989,B_s1311_b9,official_total,,official,ONS_PSF_APPENDIX_A,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1989,B_s1311_b9,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1989,C_s13_nlb,carried_from_previous_step,-10278.93345446,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1989,C_s13_nlb,official_total,,official,package_NLB,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1989,C_s13_nlb,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1990,register,sum_fixed_bullet,-6324.906290610001,computed,ggfiscal.debt.register,nominal,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1990,register,sum_inflation_linked,-499.99999999999994,computed,ggfiscal.debt.register,nominal,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1990,register,official_total,-6824.906290610001,computed,,nominal,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1990,A_cg_cash_requirement,carried_from_previous_step,-6824.906290610001,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1990,A_cg_cash_requirement,official_total,,official,ONS_PSF_APPENDIX_S,cash,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1990,A_cg_cash_requirement,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
