iso3,year,step,item,value_lcu_mn,item_type,item_source_id,basis,run_id,source_id,snapshot_sha256,quality_grade,notes
GBR,1982,register,sum_fixed_bullet,19532.93286682542,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1982,register,sum_inflation_linked,424.85877384140616,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1982,register,official_total,19957.791640666826,computed,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1982,A_cg_cash,carried_from_previous_step,19957.791640666826,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1982,A_cg_cash,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1982,A_cg_cash,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1982,B_s1311_d41,carried_from_previous_step,19957.791640666826,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1982,B_s1311_d41,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1982,B_s1311_d41,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1982,C_s13_gf01_7,carried_from_previous_step,19957.791640666826,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1982,C_s13_gf01_7,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1982,C_s13_gf01_7,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1983,register,sum_fixed_bullet,19066.548449172005,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1983,register,sum_inflation_linked,390.80260347990384,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1983,register,official_total,19457.35105265191,computed,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1983,A_cg_cash,carried_from_previous_step,19457.35105265191,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1983,A_cg_cash,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1983,A_cg_cash,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1983,B_s1311_d41,carried_from_previous_step,19457.35105265191,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1983,B_s1311_d41,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1983,B_s1311_d41,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1983,C_s13_gf01_7,carried_from_previous_step,19457.35105265191,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1983,C_s13_gf01_7,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1983,C_s13_gf01_7,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1984,register,sum_fixed_bullet,18534.078357958257,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1984,register,sum_inflation_linked,544.2563370125582,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1984,register,official_total,19078.334694970814,computed,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1984,A_cg_cash,carried_from_previous_step,19078.334694970814,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1984,A_cg_cash,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1984,A_cg_cash,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1984,B_s1311_d41,carried_from_previous_step,19078.334694970814,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1984,B_s1311_d41,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1984,B_s1311_d41,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1984,C_s13_gf01_7,carried_from_previous_step,19078.334694970814,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1984,C_s13_gf01_7,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1984,C_s13_gf01_7,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
