iso3,country,variant,classification,line_code,line_label,line_level,year,basis,value_lcu_mn,currency,pct_gdp,pct_total,gdp_lcu_mn,observation_type,quality_grade,source_id,anchor_source,anchor_year,anchor_value,growth_source_id,growth_rate,residual_method,coverage_share,crosswalk_version,derivation,notes
DEU,Germany,maximum_extension,ESA_REV,R01,Value added tax,1,1991,actual,92060.63001597095,EUR,5.78412,,1591610.0,stitched_actual,B,OECD_RS,EUROSTAT_GOV10A_MAIN,1995,120216.0,OECD_RS,0.9087561755269193,,1.0011,OECD_RS_to_ESA_REV:1.0,"backward stitch: value(1991) = value(1992) x 0.908756 (OECD_RS growth), chained backwards from the 1995 anchor 120,216.0 (EUROSTAT_GOV10A_MAIN); growth source covers 100.1% of the line at 2024; crosswalk OECD_RS_to_ESA_REV:1.0; grade B","OECD 5111 VAT: OECD Revenue Statistics heading, growth only (§7.11): historical years cash-basis; payable tax credits net where the anchor is gross (D17); EU own resources treated as revenue reductions in some years vs D.7 payable in ESA"
DEU,Germany,maximum_extension,ESA_REV,R01,Value added tax,1,1992,actual,101303.99384916632,EUR,5.924591,,1709890.0,stitched_actual,B,OECD_RS,EUROSTAT_GOV10A_MAIN,1995,120216.0,OECD_RS,0.914042670468165,,1.0011,OECD_RS_to_ESA_REV:1.0,"backward stitch: value(1992) = value(1993) x 0.914043 (OECD_RS growth), chained backwards from the 1995 anchor 120,216.0 (EUROSTAT_GOV10A_MAIN); growth source covers 100.1% of the line at 2024; crosswalk OECD_RS_to_ESA_REV:1.0; grade B","OECD 5111 VAT: OECD Revenue Statistics heading, growth only (§7.11): historical years cash-basis; payable tax credits net where the anchor is gross (D17); EU own resources treated as revenue reductions in some years vs D.7 payable in ESA"
DEU,Germany,maximum_extension,ESA_REV,R01,Value added tax,1,1993,actual,110830.7053075315,EUR,6.306731,,1757340.0,stitched_actual,B,OECD_RS,EUROSTAT_GOV10A_MAIN,1995,120216.0,OECD_RS,0.9177209775143693,,1.0011,OECD_RS_to_ESA_REV:1.0,"backward stitch: value(1993) = value(1994) x 0.917721 (OECD_RS growth), chained backwards from the 1995 anchor 120,216.0 (EUROSTAT_GOV10A_MAIN); growth source covers 100.1% of the line at 2024; crosswalk OECD_RS_to_ESA_REV:1.0; grade B","OECD 5111 VAT: OECD Revenue Statistics heading, growth only (§7.11): historical years cash-basis; payable tax credits net where the anchor is gross (D17); EU own resources treated as revenue reductions in some years vs D.7 payable in ESA"
DEU,Germany,maximum_extension,ESA_REV,R01,Value added tax,1,1994,actual,120767.3225556143,EUR,6.570512,,1838020.0,stitched_actual,B,OECD_RS,EUROSTAT_GOV10A_MAIN,1995,120216.0,OECD_RS,1.0045860996507479,,1.0011,OECD_RS_to_ESA_REV:1.0,"backward stitch: value(1994) = value(1995) x 1.004586 (OECD_RS growth), chained backwards from the 1995 anchor 120,216.0 (EUROSTAT_GOV10A_MAIN); growth source covers 100.1% of the line at 2024; crosswalk OECD_RS_to_ESA_REV:1.0; grade B","OECD 5111 VAT: OECD Revenue Statistics heading, growth only (§7.11): historical years cash-basis; payable tax credits net where the anchor is gross (D17); EU own resources treated as revenue reductions in some years vs D.7 payable in ESA"
DEU,Germany,maximum_extension,ESA_REV,R01,Value added tax,1,1995,actual,120216.0,EUR,6.327391,13.814152,1899930.0,anchor_actual,A,EUROSTAT_GOV10A_MAIN,EUROSTAT_GOV10A_MAIN,1995,120216.0,,,,,,"anchor outturn: EUROSTAT_GOV10A_MAIN publishes 120,216.0 for 1995",
DEU,Germany,maximum_extension,ESA_REV,R01,Value added tax,1,1996,actual,121484.0,EUR,6.299208,13.718279,1928560.0,anchor_actual,A,EUROSTAT_GOV10A_MAIN,EUROSTAT_GOV10A_MAIN,1996,121484.0,,,,,,"anchor outturn: EUROSTAT_GOV10A_MAIN publishes 121,484.0 for 1996",
DEU,Germany,maximum_extension,ESA_REV,R01,Value added tax,1,1997,actual,123024.0,EUR,6.253825,13.676795,1967180.0,anchor_actual,A,EUROSTAT_GOV10A_MAIN,EUROSTAT_GOV10A_MAIN,1997,123024.0,,,,,,"anchor outturn: EUROSTAT_GOV10A_MAIN publishes 123,024.0 for 1997",
DEU,Germany,maximum_extension,ESA_REV,R01,Value added tax,1,1998,actual,129206.0,EUR,6.38903,13.998332,2022310.0,anchor_actual,A,EUROSTAT_GOV10A_MAIN,EUROSTAT_GOV10A_MAIN,1998,129206.0,,,,,,"anchor outturn: EUROSTAT_GOV10A_MAIN publishes 129,206.0 for 1998",
DEU,Germany,maximum_extension,ESA_REV,R01,Value added tax,1,1999,actual,137707.0,EUR,6.629325,14.219819,2077240.0,anchor_actual,A,EUROSTAT_GOV10A_MAIN,EUROSTAT_GOV10A_MAIN,1999,137707.0,,,,,,"anchor outturn: EUROSTAT_GOV10A_MAIN publishes 137,707.0 for 1999",
DEU,Germany,maximum_extension,ESA_REV,R01,Value added tax,1,2000,actual,140003.0,EUR,6.57396,14.185621,2129660.0,anchor_actual,A,EUROSTAT_GOV10A_MAIN,EUROSTAT_GOV10A_MAIN,2000,140003.0,,,,,,"anchor outturn: EUROSTAT_GOV10A_MAIN publishes 140,003.0 for 2000",
