year,GDP - Gross domestic product at current market prices,GF01 - General public services,GF01_7 - Public debt transactions (interest),GF01_X - General public services excluding interest,GF02 - Defence,GF03 - Public order and safety,GF04 - Economic affairs,GF04_5 - Transport,GF04_X - Economic affairs excluding transport,GF05 - Environmental protection,GF06 - Housing and community amenities,GF07 - Health,GF08 - Recreation culture and religion,GF09 - Education,GF10 - Social protection,GF10_2 - Old age (pensions),GF10_5 - Unemployment,GF10_X - Social protection excluding old age and unemployment,TE - Total expenditure,E01 - Compensation of employees,E02 - Intermediate consumption,E03 - Social benefits other than social transfers in kind,E04 - Social transfers in kind (purchased market production),E05 - Interest payable,E06 - Subsidies,E07 - Other current expenditure,E08 - Gross capital formation and net acquisition of non-produced assets,E09 - Capital transfers payable,TE_ESA - Total expenditure (ESA main aggregates),R01 - Value added tax,R02 - Other taxes on production and imports,R02_A - Excise duties,R02_X - Other taxes on production and imports excluding excise duties,R03 - Taxes on household income,R04 - Taxes on corporate income,R05 - Other current taxes and capital taxes,R06 - Net social contributions,R06_E - Employers' actual social contributions,R06_H - Households' actual social contributions,R06_X - Imputed and supplementary social contributions (D.612 + D.614 - D.61SC),R07 - Interest receivable,R08 - Other property income,R09 - Sales of goods and services,R10 - Other current and capital transfers receivable,TR - Total revenue,LEDGER_TR - Total revenue (balance anchor),LEDGER_TE - Total expenditure (balance anchor),NLB - Net lending (+) / net borrowing (-),NI - Net interest (GF01_7 - R07),PB - Primary balance (NLB + NI)
1970,1073303.0,62066.435,44383.332,17683.102999999996,84539.689,12053.303,50814.403,12627.0,38187.403,0.0,5316.405,30035.485,2741.349,61066.93,58869.35,30740.0,4087.0,24042.35,367503.348,129804.902,53836.145,72458.0,0.0,44383.332,4777.0,4818.0,57295.975,130.0,367503.355,0.0,91413.0,30282.0,61131.0,100130.0,30862.0,8078.0,46593.0,23328.0,22627.0,638.0,7145.0,4712.5,28275.049,2712.0,319920.549,319920.549,367503.355,-47582.80599999998,37238.332,-10344.47399999998
1971,1164850.0,69058.371,48621.007,20437.364,82170.47,13923.92,54629.379,13933.0,40696.379,0.0,6473.573,34605.975,3054.178,68465.444,70090.457,35629.0,5934.0,28527.456999999995,402471.769,142835.65,57668.51,86223.0,0.0,48621.007,4675.0,6012.0,56281.599,155.0,402471.767,0.0,100493.0,32143.0,68350.0,98610.0,34383.0,9259.0,51504.0,25753.0,24880.0,871.0,7690.0,4767.700000000001,31369.556,2916.0,340992.256,340992.256,402471.767,-61479.511,40931.007,-20548.504
1972,1279110.0,76415.655,53463.608,22952.047,86056.0,15762.972,58874.522,15037.0,43837.522,0.0,7107.375,39579.688,3281.146,75359.894,77660.529,39563.0,5807.0,32290.528999999995,440097.781,156099.99,62972.842,95773.0,0.0,53463.608,6636.0,7177.0,57751.331,224.0,440097.771,0.0,107928.0,33451.0,74477.0,120357.0,38628.0,10490.0,59578.0,30399.0,28221.0,958.0,8187.0,4728.0,35578.385,3453.0,388927.385,388927.385,440097.771,-51170.386,45276.608,-5893.777999999998
1973,1425376.0,87070.639,61979.821,25090.817999999992,85570.9,17436.224,57064.599,16588.0,40476.599,0.0,8122.643,45351.469,3680.461,82648.517,88839.269,48525.0,4481.0,35833.269,475784.722,167563.436,65569.107,109786.0,0.0,61979.821,5230.0,5390.999999999993,60071.369999999995,194.0,475784.734,0.0,117220.0,36068.0,81152.0,128823.0,44947.0,10563.0,76038.0,39223.0,35968.0,847.0,9966.0,6155.9,39358.584,3635.0,436706.484,436706.484,475784.734,-39078.25,52013.821,12935.571000000004
1974,1545243.0,99837.019,69526.152,30310.867,91526.2,19814.132,58644.073,19708.0,38936.073,0.0,9710.627,52878.275,4465.997,92026.663,105157.3,54561.0,6892.0,43704.3,534060.285,180978.12,76868.681,129878.0,0.0,69526.152,3307.0,5995.0,67248.34700000001,259.0,534060.3,0.0,124902.0,36593.0,88309.0,147243.0,46244.0,10470.0,85750.0,43997.0,40765.0,988.0,12541.0,7714.5999999999985,43649.641,4118.0,482632.241,482632.241,534060.3,-51428.05900000007,56985.152,5557.092999999935
1975,1684904.0,112999.606,77403.189,35596.417,96849.8,22675.274,72269.613,22582.0,49687.613,0.0,10741.767,62148.754,5285.411,105652.141,132668.575,61921.0,17745.0,53002.57500000001,621290.94,199816.916,87942.037,165121.0,0.0,77403.189,4494.0,6135.0,80080.84599999999,298.0,621290.987,0.0,135292.0,37605.0,97687.0,143654.0,45524.0,10872.0,89897.0,45551.0,42879.0,1467.0,14098.0,7722.700000000001,47201.422,4685.0,498946.122,498946.122,621290.987,-122344.86499999999,63305.189,-59039.67599999999
1976,1873412.0,124612.616,86724.044,37888.572,99568.6,24630.855,73767.016,23539.0,50228.016,0.0,11531.327,69265.59,5640.754,112694.627,143528.442,69294.0,16266.0,57968.44200000001,665239.827,213527.743,92619.582,180133.0,0.0,86724.044,5125.0,4534.0,82327.459,249.0,665239.828,0.0,146388.0,40127.0,106261.0,168570.0,58343.0,12051.0,101973.0,53051.0,47242.0,1680.0,14195.0,8326.599999999999,51659.559,5460.0,566966.159,566966.159,665239.828,-98273.669,72529.044,-25744.625
1977,2081826.0,136470.178,95752.532,40717.64600000001,106866.1,26894.302,82003.613,25250.0,56753.613,0.0,12176.772,77036.075,5859.543,119195.526,152787.753,76863.0,12993.0,62931.753,719289.862,230050.928,103463.191,192061.0,0.0,95752.532,7100.0,4247.0,86390.20199999999,225.0,719289.853,0.0,159664.0,42361.0,117303.0,193625.0,67107.0,14257.0,113853.0,59937.0,52338.0,1578.0,16148.118,8519.800000000001,57019.953,6457.0,636650.871,636650.871,719289.853,-82638.98199999996,79604.414,-3034.5679999999556
1978,2351599.0,155129.659,111330.064,43799.595000000016,115113.661,29781.569,96339.011,27436.0,68903.011,0.0,14259.876,86966.144,6623.691,128014.938,161204.628,84411.0,10140.0,66653.628,793433.176,250738.641,113755.56,206169.0,0.0,111330.064,8936.0,4992.0,97260.937,251.0,793433.202,0.0,170898.0,44972.0,125926.0,225134.0,76500.0,12658.0,132125.0,70612.0,60126.0,1387.0,20695.0,9914.400000000001,64298.484,7767.0,719989.884,719989.884,793433.202,-73443.31800000009,90635.064,17191.745999999912
1979,2627333.0,174732.512,127088.572,47643.93999999999,128106.148,32979.313,104472.058,30208.0,74264.058,0.0,16262.473,98240.833,7144.466,140473.632,179530.755,94938.0,10172.0,74420.755,881942.189,271292.801,129254.572,230383.0,0.0,127088.572,8531.0,5845.999999999985,109195.205,351.0,881942.15,0.0,180101.0,46019.0,134082.0,264243.0,78717.0,13359.0,153678.0,81573.0,70592.0,1513.0,27277.025,13351.400000000001,73485.608,8855.0,813067.033,813067.033,881942.15,-68875.11699999997,99811.54699999999,30936.430000000022
