iso3,country,block,variant,weo_vintage,base_year,year,side,component,line_code,contribution_pp,measure,component_meaning,notes
DEU,Germany,forecast,maximum_extension,2025-04,2024,2025,balance,covered_total,,0.39560219998825896,"pp of GDP, change since the base year",sum of the covered-line contributions on that side,sum of signed covered-line contributions — what the granular official forecasts explain of the WEO change
DEU,Germany,forecast,maximum_extension,2025-04,2024,2025,balance,explained_share,,-2.040863044178076,share (0-1),covered contributions as a share of the WEO change (1.0 = fully explained by official granular forecasts),"covered_total / weo_change (a ratio, not pp): the Gate 5 headline number"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2025,balance,weo_change,,-0.1938406406626767,"pp of GDP, change since the base year",the WEO's own change in NLB/GDP over the same span — the quantity being explained,Δ((GGXCNL/NGDP)) from base year; the decomposition target — components above sum to this exactly (V26)
DEU,Germany,forecast,maximum_extension,2025-04,2024,2025,balance,weo_internal_wedge,,-3.1086244689504383e-15,"pp of GDP, change since the base year",WEO-internal inconsistency between GGR-GGX and GGXCNL at that horizon,GGXCNL change minus (GGR change - GGX change) inside the WEO tables; rounding only
DEU,Germany,forecast,maximum_extension,2025-04,2024,2025,expenditure,covered_line,GF01,-0.3638815141922547,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2025,expenditure,covered_line,GF07,-0.0867895016392839,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2025,expenditure,covered_line,GF09,-0.04633988429875446,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2025,expenditure,covered_line,GF10,-0.6602020059206098,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2025,expenditure,denom_effect,,0.03795120205157265,"pp of GDP, change since the base year",effect of the GDP denominator path on the ratio,"covered contributions on the lines' own source GDP paths minus the WEO NGDP version (§8.3; reported, never absorbed)"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2025,expenditure,historical_uncovered_growth,,6.825462171974062,growth factor,"the same remainder's realised historical growth, for comparison","annualised nominal growth of the same uncovered lines over the five anchor years to 2024, % per year"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2025,expenditure,implied_uncovered_growth,,6.425556477028271,growth factor,growth the uncovered remainder would need to close the residual,"annualised nominal growth of the uncovered lines implied by the official total, % per year (NOT pp of GDP; §8.3 plausibility diagnostic, not a forecast)"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2025,expenditure,resid_coverage,,0.0015572840417366063,"pp of GDP, change since the base year","part of the change attributable to lines with no published forecast (a coverage hole, never allocated)","official total (EC_AMECO, Q12 deviation for GBR per D-S3-001) minus covered lines, both on national GDP paths: the uncovered lines"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2025,expenditure,resid_disagreement,,0.7561992908276416,"pp of GDP, change since the base year",part attributable to covered lines moving differently from the WEO aggregate,"WEO side change minus the official total's change, each on its own GDP path"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2025,revenue,covered_line,R01,0.11096963376270447,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2025,revenue,covered_line,R02,0.02455298842806708,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2025,revenue,covered_line,R03,0.2389718879747149,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2025,revenue,covered_line,R04,-0.07845534134843547,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2025,revenue,covered_line,R05,0.08536294504561288,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2025,revenue,covered_line,R06,1.1039954226556736,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2025,revenue,covered_line,R07,-0.09934369960852762,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2025,revenue,covered_line,R08,0.006700959982185997,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2025,revenue,covered_line,R09,0.2286135010106681,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2025,revenue,covered_line,R10,-0.06855319186350184,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2025,revenue,denom_effect,,-0.4514520384340617,"pp of GDP, change since the base year",effect of the GDP denominator path on the ratio,"covered contributions on the lines' own source GDP paths minus the WEO NGDP version (§8.3; reported, never absorbed)"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2025,revenue,resid_coverage,,0.014142319780972912,"pp of GDP, change since the base year","part of the change attributable to lines with no published forecast (a coverage hole, never allocated)","official total (EC_AMECO, Q12 deviation for GBR per D-S3-001) minus covered lines, both on national GDP paths: the uncovered lines"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2025,revenue,resid_disagreement,,-0.9478408989187947,"pp of GDP, change since the base year",part attributable to covered lines moving differently from the WEO aggregate,"WEO side change minus the official total's change, each on its own GDP path"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2026,balance,covered_total,,-0.10614114185721091,"pp of GDP, change since the base year",sum of the covered-line contributions on that side,sum of signed covered-line contributions — what the granular official forecasts explain of the WEO change
DEU,Germany,forecast,maximum_extension,2025-04,2024,2026,balance,explained_share,,0.14891352065764712,share (0-1),covered contributions as a share of the WEO change (1.0 = fully explained by official granular forecasts),"covered_total / weo_change (a ratio, not pp): the Gate 5 headline number"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2026,balance,weo_change,,-0.7127703474369522,"pp of GDP, change since the base year",the WEO's own change in NLB/GDP over the same span — the quantity being explained,Δ((GGXCNL/NGDP)) from base year; the decomposition target — components above sum to this exactly (V26)
DEU,Germany,forecast,maximum_extension,2025-04,2024,2026,balance,weo_internal_wedge,,-4.884981308350689e-15,"pp of GDP, change since the base year",WEO-internal inconsistency between GGR-GGX and GGXCNL at that horizon,GGXCNL change minus (GGR change - GGX change) inside the WEO tables; rounding only
