metric,value
stock_2026-09-10_total_nominal_eur_bn,2862.3
stock_2026-09-10_total_uplifted_eur_bn,2936.6
stock_2026-09-10_bill_nominal_eur_bn,217.5
stock_2026-09-10_bill_uplifted_eur_bn,217.5
stock_2026-09-10_fixed_bullet_nominal_eur_bn,2404.0
stock_2026-09-10_fixed_bullet_uplifted_eur_bn,2404.0
stock_2026-09-10_inflation_linked_nominal_eur_bn,240.8
stock_2026-09-10_inflation_linked_uplifted_eur_bn,315.1
maturity_2026-09-10_bucket_0-1_eur_bn,379.8
maturity_2026-09-10_bucket_0-1_share,0.1327
maturity_2026-09-10_bucket_1-2_eur_bn,237.4
maturity_2026-09-10_bucket_1-2_share,0.083
maturity_2026-09-10_bucket_2-3_eur_bn,311.3
maturity_2026-09-10_bucket_2-3_share,0.1087
avg_residual_maturity_2025-12-31_all_years,8.3
avg_residual_maturity_2025-12-31_fixed_bullet_years,8.96
avg_maturity_at_issue_fixed_bullet_2021_years,12.55
avg_maturity_at_issue_fixed_bullet_2024_years,11.18
avg_maturity_at_issue_fixed_bullet_2025_years,10.39
avg_maturity_at_issue_fixed_bullet_2026ytd_years,10.28
avg_coupon_fixed_stock_2022-12-31_pct,1.543
avg_coupon_fixed_stock_2025-12-31_pct,1.97
avg_coupon_fixed_stock_2026-09-10_pct,2.137
bill_share_of_stock_2019,0.0582
bill_share_of_stock_2022,0.0649
bill_share_of_stock_2025,0.0688
redemptions_2026_eur_bn,180.6
redemptions_2027_eur_bn,300.6
redemptions_2028_eur_bn,246.2
mlt_redemptions_2015_eur_bn,151.6
mlt_redemptions_2015_pct_stock,9.97
mlt_redemptions_2015_pct_gdp,6.89
mlt_redemptions_2020_eur_bn,171.6
mlt_redemptions_2020_pct_stock,9.34
mlt_redemptions_2020_pct_gdp,7.4
mlt_redemptions_2025_eur_bn,198.2
mlt_redemptions_2025_pct_stock,7.57
mlt_redemptions_2025_pct_gdp,6.63
mlt_redemptions_2026_eur_bn,153.6
mlt_redemptions_2026_pct_stock,5.87
mlt_redemptions_2026_pct_gdp,5.03
mlt_redemptions_2027_eur_bn,202.9
mlt_redemptions_2027_pct_stock,6.81
mlt_redemptions_2027_pct_gdp,6.44
mlt_redemptions_2028_eur_bn,246.2
mlt_redemptions_2028_pct_stock,7.86
mlt_redemptions_2028_pct_gdp,7.59
mlt_redemptions_2029_eur_bn,281.3
mlt_redemptions_2029_pct_stock,8.57
mlt_redemptions_2029_pct_gdp,8.42
mlt_redemptions_2030_eur_bn,210.3
mlt_redemptions_2030_pct_stock,6.13
mlt_redemptions_2030_pct_gdp,6.11
mlt_redemptions_history_peak_pct_stock,10.32
mlt_redemptions_history_peak_pct_stock_year,2009
mlt_redemptions_history_peak_pct_gdp,7.4
mlt_redemptions_history_peak_pct_gdp_year,2020
bills_maturing_2027_eur_bn,97.6
oat_bund_spread_2021_avg_bp,38.0
oat_bund_spread_2022_avg_bp,55.8
oat_bund_spread_2023_avg_bp,56.0
oat_bund_spread_2024_avg_bp,64.8
oat_bund_spread_2025_avg_bp,75.7
oat_bund_spread_2026_avg_bp,68.7
oat_bund_spread_latest_bp,78.0
oat_bund_spread_latest_date,2026-07-01
fr_lt10_latest_pct,3.85
fr_lt10_latest_date,2026-07-01
gf01_7_2024_pct_gdp,2.006
gf01_7_2024_eur_bn,58.9
gf01_7_2025_pct_gdp,2.19
gf01_7_2025_eur_bn,65.2
gf01_7_2027_pct_gdp,2.74
gf01_7_2027_eur_bn,86.3
gf01_7_2029_pct_gdp,3.224
gf01_7_2029_eur_bn,107.9
gf01_7_2031_pct_gdp,3.743
gf01_7_2031_eur_bn,132.2
gf01_7_2036_pct_gdp,5.175
gf01_7_2036_eur_bn,211.2
