year,fixed_bullet,inflation_linked,basis,mlt,stock_prev,btf_prev,gdp,pct_stock,pct_gdp
2000,0.812,0.0,register flows,0.812,119.875113065,33.688,1473.5173,0.6773716238830227,0.055106241372259425
2001,13.152,0.0,register flows,13.152,217.87111306499997,43.014,1530.0709,6.036596506520905,0.8595680108679931
2002,15.749,0.0,register flows,15.749,304.41011306499996,52.44,1578.3303999999998,5.1736126114302765,0.9978265640704889
2003,16.33,0.0,register flows,16.33,420.208257065,88.177,1622.3128000000002,3.886168280951697,1.0065876321754963
2004,34.537,0.0,register flows,34.537,542.740257065,108.697,1696.1077,6.363449099347674,2.036250410277602
2005,39.309,0.0,register flows,39.309,627.478257065,97.072,1762.0476999999998,6.264599539092557,2.230870367470756
2006,49.028,0.0,register flows,49.028,712.546257065,95.323,1846.0208,6.880676098411891,2.655874733372452
2007,48.836,0.0,register flows,48.836,756.9412570650001,66.247,1937.8763000000001,6.451755607741481,2.5200782939550885
2008,67.097,0.0,register flows,67.097,827.9362570650001,78.456,1989.9996999999998,8.104126305309554,3.3717090510114147
2009,88.895,9.192,register flows,98.08699999999999,950.452257065,138.281,1935.8401999999999,10.320034412132705,5.066895500981951
2010,86.727,9.325,register flows,96.052,1106.768257065,214.12,1996.0751,8.678600907358597,4.8120433945596535
2011,89.241,15.313,register flows,104.554,1194.421257065,187.138,2062.1414,8.753528069059659,5.07016638141303
2012,99.599,14.494,register flows,114.093,1288.289257065,177.796,2088.2867,8.8561632703457,5.463473956904481
2013,109.973,15.699,register flows,125.672,1364.500257065,166.6,2120.3519,9.210111859584165,5.92694071205822
2014,121.743,0.0,register flows,121.743,1438.017257065,173.843,2153.7331,8.466031920122992,5.652650275003899
2015,137.525,14.052,register flows,151.577,1520.793257065,175.285,2201.4016,9.966969494100109,6.8854769615866545
2016,140.575,12.07,register flows,152.64499999999998,1566.618257065,152.673,2231.8192000000004,9.743598947070527,6.83948771477546
2017,121.005,20.195,register flows,141.2,1612.028257065,133.925,2291.6805,8.759151670026002,6.161417352898887
2018,129.95,11.257,register flows,141.207,1676.517257065,126.473,2355.3628,8.422639218590833,5.995127374857071
2019,138.033,11.74,register flows,149.773,1747.121257065,112.9,2432.2068,8.572558967750446,6.157905651772703
2020,151.268,20.31,register flows,171.578,1836.997257065,106.933,2318.2762000000002,9.340133706793495,7.401102595109244
2021,140.022,15.366,register flows,155.38799999999998,2009.603257065,161.608,2508.1023,7.7322724997441625,6.195441071123772
2022,146.248,19.928,register flows,166.176,2135.119257065,155.409,2653.9972000000002,7.782984460944377,6.261347977307586
2023,147.551,18.048,register flows,165.599,2245.583257065,145.819,2833.8264,7.374431541515835,5.8436536550015905
2024,150.693,17.919,register flows,168.61200000000002,2407.002257065,169.743,2935.2362000000003,7.005061981354292,5.7444099387981105
2025,185.368,12.793,register flows,198.161,2617.904257065,201.159,2991.0559,7.569451765289667,6.6251185743469385
2026,140.905,12.736,register flows,153.641,2617.904257065,201.159,3055.84348,5.868854813363224,5.027777142564906
2027,180.766,22.162,positions at snapshot,202.928,2981.5231427667472,215.0,3150.69359,6.806185640125203,6.440740560874407
2028,228.61723260300002,17.612,positions at snapshot,246.229232603,3131.2070792649565,215.0,3245.2143977,7.8637160165338456,7.587456556876844
2029,247.101880462,34.217144,positions at snapshot,281.319024462,3280.982151544138,215.0,3342.5708296310004,8.574232088693382,8.416247218104752
2030,193.027,17.232,positions at snapshot,210.259,3430.1802678970034,215.0,3442.8479545199307,6.129677847191013,6.107124182581522
