iso3,classification,line_code,candidate_sources,first_historical_year,final_actual_year,first_forecast_year,final_strict_year,final_maximum_year,status,notes
GBR,COFOG,GF01,ONS_ESA_T11;ONS_PSF_INTEREST;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,
GBR,COFOG,GF01_7,ONS_ESA_T11;ONS_PSF_INTEREST;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,
GBR,COFOG,GF01_X,ONS_ESA_T11;ONS_PSF_INTEREST;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,D7: no identified forecast source; declared at outset
GBR,COFOG,GF02,ONS_ESA_T11;ONS_PSF_INTEREST;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,
GBR,COFOG,GF03,ONS_ESA_T11;ONS_PSF_INTEREST;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,D7: no identified forecast source; declared at outset
GBR,COFOG,GF04,ONS_ESA_T11;ONS_PSF_INTEREST;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,D7: no identified forecast source; declared at outset
GBR,COFOG,GF05,ONS_ESA_T11;ONS_PSF_INTEREST;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,D7: no identified forecast source; declared at outset
GBR,COFOG,GF06,ONS_ESA_T11;ONS_PSF_INTEREST;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,D7: no identified forecast source; declared at outset
GBR,COFOG,GF07,ONS_ESA_T11;ONS_PSF_INTEREST;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,
GBR,COFOG,GF08,ONS_ESA_T11;ONS_PSF_INTEREST;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,D7: no identified forecast source; declared at outset
GBR,COFOG,GF09,ONS_ESA_T11;ONS_PSF_INTEREST;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,
GBR,COFOG,GF10,ONS_ESA_T11;ONS_PSF_INTEREST;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,
GBR,ESA_REV,R01,ONS_GG_RECEIPTS;ONS_PSF_INTEREST;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,
GBR,ESA_REV,R02,ONS_GG_RECEIPTS;ONS_PSF_INTEREST;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,
GBR,ESA_REV,R03,ONS_GG_RECEIPTS;ONS_PSF_INTEREST;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,
GBR,ESA_REV,R04,ONS_GG_RECEIPTS;ONS_PSF_INTEREST;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,
GBR,ESA_REV,R05,ONS_GG_RECEIPTS;ONS_PSF_INTEREST;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,D7 partial: other-taxes component partial
GBR,ESA_REV,R06,ONS_GG_RECEIPTS;ONS_PSF_INTEREST;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,D7 partial: imputed component
GBR,ESA_REV,R07,ONS_GG_RECEIPTS;ONS_PSF_INTEREST;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,
GBR,ESA_REV,R08,ONS_GG_RECEIPTS;ONS_PSF_INTEREST;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,D7: no identified forecast source; declared at outset
GBR,ESA_REV,R09,ONS_GG_RECEIPTS;ONS_PSF_INTEREST;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,
GBR,ESA_REV,R10,ONS_GG_RECEIPTS;ONS_PSF_INTEREST;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,D7: no identified forecast source; declared at outset
FRA,COFOG,GF01,EUROSTAT_GOV10A_EXP;INSEE_APU;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,
FRA,COFOG,GF01_7,EUROSTAT_GOV10A_EXP;INSEE_APU;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,
FRA,COFOG,GF01_X,EUROSTAT_GOV10A_EXP;INSEE_APU;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,D7: no identified forecast source; declared at outset
FRA,COFOG,GF02,EUROSTAT_GOV10A_EXP;INSEE_APU;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,
FRA,COFOG,GF03,EUROSTAT_GOV10A_EXP;INSEE_APU;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,D7: no identified forecast source; declared at outset
FRA,COFOG,GF04,EUROSTAT_GOV10A_EXP;INSEE_APU;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,D7: no identified forecast source; declared at outset
FRA,COFOG,GF05,EUROSTAT_GOV10A_EXP;INSEE_APU;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,D7: no identified forecast source; declared at outset
FRA,COFOG,GF06,EUROSTAT_GOV10A_EXP;INSEE_APU;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,D7: no identified forecast source; declared at outset
