iso3,line_code,comparator,anchor_series,comparator_series,overlap_first,overlap_last,n_overlap,mean_abs_diff_pct,max_abs_diff_pct,note
GBR,GF01,IMF_GFS,ONS_ESA_T11,GF01_T,1995,2024,30,0.0,0.0,same national data redistributed; expect near-zero
GBR,GF02,IMF_GFS,ONS_ESA_T11,GF02_T,1995,2024,30,0.0,0.0,same national data redistributed; expect near-zero
GBR,GF03,IMF_GFS,ONS_ESA_T11,GF03_T,1995,2024,30,0.0,0.0,same national data redistributed; expect near-zero
GBR,GF04,IMF_GFS,ONS_ESA_T11,GF04_T,1995,2024,30,0.0,0.0,same national data redistributed; expect near-zero
GBR,GF05,IMF_GFS,ONS_ESA_T11,GF05_T,1995,2024,30,0.0,0.0,same national data redistributed; expect near-zero
GBR,GF06,IMF_GFS,ONS_ESA_T11,GF06_T,1995,2024,30,0.0,0.0,same national data redistributed; expect near-zero
GBR,GF07,IMF_GFS,ONS_ESA_T11,GF07_T,1995,2024,30,0.0,0.0,same national data redistributed; expect near-zero
GBR,GF08,IMF_GFS,ONS_ESA_T11,GF08_T,1995,2024,30,0.0,0.0,same national data redistributed; expect near-zero
GBR,GF09,IMF_GFS,ONS_ESA_T11,GF09_T,1995,2024,30,0.0,0.0,same national data redistributed; expect near-zero
GBR,GF10,IMF_GFS,ONS_ESA_T11,GF10_T,1995,2024,30,0.0,0.0,same national data redistributed; expect near-zero
GBR,GF01_7,IMF_GFS,ONS_ESA_T11,GF0170_T,1995,2024,30,0.0,0.0,same national data redistributed; expect near-zero
FRA,GF01,IMF_GFS,EUROSTAT_GOV10A_EXP,GF01_T,1995,2023,29,0.301,1.043,same national data redistributed; expect near-zero
FRA,GF02,IMF_GFS,EUROSTAT_GOV10A_EXP,GF02_T,1995,2023,29,0.0,0.0,same national data redistributed; expect near-zero
FRA,GF03,IMF_GFS,EUROSTAT_GOV10A_EXP,GF03_T,1995,2023,29,0.0,0.0,same national data redistributed; expect near-zero
FRA,GF04,IMF_GFS,EUROSTAT_GOV10A_EXP,GF04_T,1995,2023,29,0.0,0.0,same national data redistributed; expect near-zero
FRA,GF05,IMF_GFS,EUROSTAT_GOV10A_EXP,GF05_T,1995,2023,29,0.0,0.007,same national data redistributed; expect near-zero
FRA,GF06,IMF_GFS,EUROSTAT_GOV10A_EXP,GF06_T,1995,2023,29,0.0,0.0,same national data redistributed; expect near-zero
FRA,GF07,IMF_GFS,EUROSTAT_GOV10A_EXP,GF07_T,1995,2023,29,0.0,0.0,same national data redistributed; expect near-zero
FRA,GF08,IMF_GFS,EUROSTAT_GOV10A_EXP,GF08_T,1995,2023,29,0.0,0.0,same national data redistributed; expect near-zero
FRA,GF09,IMF_GFS,EUROSTAT_GOV10A_EXP,GF09_T,1995,2023,29,0.0,0.0,same national data redistributed; expect near-zero
FRA,GF10,IMF_GFS,EUROSTAT_GOV10A_EXP,GF10_T,1995,2023,29,0.0,0.0,same national data redistributed; expect near-zero
FRA,GF01_7,IMF_GFS,EUROSTAT_GOV10A_EXP,GF0170_T,1995,2023,29,0.827,2.578,same national data redistributed; expect near-zero
DEU,GF01,IMF_GFS,EUROSTAT_GOV10A_EXP,GF01_T,1995,2024,30,1.009,2.321,same national data redistributed; expect near-zero
DEU,GF02,IMF_GFS,EUROSTAT_GOV10A_EXP,GF02_T,1995,2024,30,0.0,0.0,same national data redistributed; expect near-zero
DEU,GF03,IMF_GFS,EUROSTAT_GOV10A_EXP,GF03_T,1995,2024,30,0.0,0.0,same national data redistributed; expect near-zero
DEU,GF04,IMF_GFS,EUROSTAT_GOV10A_EXP,GF04_T,1995,2024,30,0.0,0.0,same national data redistributed; expect near-zero
DEU,GF05,IMF_GFS,EUROSTAT_GOV10A_EXP,GF05_T,1995,2024,30,0.0,0.0,same national data redistributed; expect near-zero
DEU,GF06,IMF_GFS,EUROSTAT_GOV10A_EXP,GF06_T,1995,2024,30,0.0,0.0,same national data redistributed; expect near-zero
DEU,GF07,IMF_GFS,EUROSTAT_GOV10A_EXP,GF07_T,1995,2024,30,0.0,0.0,same national data redistributed; expect near-zero
DEU,GF08,IMF_GFS,EUROSTAT_GOV10A_EXP,GF08_T,1995,2024,30,0.0,0.0,same national data redistributed; expect near-zero
DEU,GF09,IMF_GFS,EUROSTAT_GOV10A_EXP,GF09_T,1995,2024,30,0.0,0.0,same national data redistributed; expect near-zero
DEU,GF10,IMF_GFS,EUROSTAT_GOV10A_EXP,GF10_T,1995,2024,30,0.0,0.0,same national data redistributed; expect near-zero
DEU,GF01_7,IMF_GFS,EUROSTAT_GOV10A_EXP,GF0170_T,2000,2024,25,3.459,6.674,same national data redistributed; expect near-zero
